path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
path/to/sampleID_R1.fastqc.qz,path/to/sampleID_R2.fastqc.qz,path/to/name_of_output_folder
